datetime_beginning_ept,mkt_region,zone,mw_sum
2026-01-01 00:00:00,MIDATL,AE,1111.704
2026-01-01 00:00:00,MIDATL,BC,3567.083
2026-01-01 00:00:00,MIDATL,DPL,2360.0449999999996
2026-01-01 00:00:00,MIDATL,JC,2477.383
2026-01-01 00:00:00,MIDATL,ME,1707.938
2026-01-01 00:00:00,MIDATL,PE,4400.274
2026-01-01 00:00:00,MIDATL,PEP,3220.835
2026-01-01 00:00:00,MIDATL,PL,4812.401
2026-01-01 00:00:00,MIDATL,PN,1922.628
2026-01-01 00:00:00,MIDATL,PS,4750.645
2026-01-01 00:00:00,MIDATL,RECO,148.699
2026-01-01 00:00:00,RTO,RTO,95815.894
2026-01-01 00:00:00,SOUTH,DOM,16261.788
2026-01-01 00:00:00,WEST,AEP,16736.313
2026-01-01 00:00:00,WEST,AP,6199.927
2026-01-01 00:00:00,WEST,ATSI,7459.861
2026-01-01 00:00:00,WEST,CE,10587.718
2026-01-01 00:00:00,WEST,DAY,1886.738
2026-01-01 00:00:00,WEST,DEOK,2815.768
2026-01-01 00:00:00,WEST,DUQ,1468.334
2026-01-01 00:00:00,WEST,EKPC,1871.812
2026-01-01 00:00:00,WEST,OVEC,48.0
2026-01-01 01:00:00,MIDATL,AE,1072.11
2026-01-01 01:00:00,MIDATL,BC,3507.044
2026-01-01 01:00:00,MIDATL,DPL,2294.1259999999997
2026-01-01 01:00:00,MIDATL,JC,2384.089
2026-01-01 01:00:00,MIDATL,ME,1660.689
2026-01-01 01:00:00,MIDATL,PE,4282.829
2026-01-01 01:00:00,MIDATL,PEP,3172.2659999999996
2026-01-01 01:00:00,MIDATL,PL,4692.616
2026-01-01 01:00:00,MIDATL,PN,1859.531
2026-01-01 01:00:00,MIDATL,PS,4645.872
2026-01-01 01:00:00,MIDATL,RECO,143.145
2026-01-01 01:00:00,RTO,RTO,94174.756
2026-01-01 01:00:00,SOUTH,DOM,16021.736
2026-01-01 01:00:00,WEST,AEP,16575.595999999998
2026-01-01 01:00:00,WEST,AP,6103.463
2026-01-01 01:00:00,WEST,ATSI,7324.098
2026-01-01 01:00:00,WEST,CE,10394.242
2026-01-01 01:00:00,WEST,DAY,1876.745
2026-01-01 01:00:00,WEST,DEOK,2759.998
2026-01-01 01:00:00,WEST,DUQ,1452.232
2026-01-01 01:00:00,WEST,EKPC,1909.329
2026-01-01 01:00:00,WEST,OVEC,43.0
2026-01-01 02:00:00,MIDATL,AE,1041.76
2026-01-01 02:00:00,MIDATL,BC,3444.155
2026-01-01 02:00:00,MIDATL,DPL,2238.426
2026-01-01 02:00:00,MIDATL,JC,2315.109
2026-01-01 02:00:00,MIDATL,ME,1619.849
2026-01-01 02:00:00,MIDATL,PE,4192.618
2026-01-01 02:00:00,MIDATL,PEP,3112.334
2026-01-01 02:00:00,MIDATL,PL,4604.448
2026-01-01 02:00:00,MIDATL,PN,1843.8
2026-01-01 02:00:00,MIDATL,PS,4545.236
2026-01-01 02:00:00,MIDATL,RECO,139.25
2026-01-01 02:00:00,RTO,RTO,93065.939
2026-01-01 02:00:00,SOUTH,DOM,15774.237
2026-01-01 02:00:00,WEST,AEP,16577.714
2026-01-01 02:00:00,WEST,AP,6035.214
2026-01-01 02:00:00,WEST,ATSI,7298.7300000000005
2026-01-01 02:00:00,WEST,CE,10319.064
2026-01-01 02:00:00,WEST,DAY,1872.747
2026-01-01 02:00:00,WEST,DEOK,2700.211
2026-01-01 02:00:00,WEST,DUQ,1435.733
2026-01-01 02:00:00,WEST,EKPC,1912.304
2026-01-01 02:00:00,WEST,OVEC,43.0
2026-01-01 03:00:00,MIDATL,AE,1016.2520000000001
2026-01-01 03:00:00,MIDATL,BC,3392.72
2026-01-01 03:00:00,MIDATL,DPL,2199.999
2026-01-01 03:00:00,MIDATL,JC,2262.654
2026-01-01 03:00:00,MIDATL,ME,1595.597
2026-01-01 03:00:00,MIDATL,PE,4192.517
2026-01-01 03:00:00,MIDATL,PEP,3084.405
2026-01-01 03:00:00,MIDATL,PL,4580.227
2026-01-01 03:00:00,MIDATL,PN,1843.865
2026-01-01 03:00:00,MIDATL,PS,4456.207
2026-01-01 03:00:00,MIDATL,RECO,136.307
2026-01-01 03:00:00,RTO,RTO,92327.248
2026-01-01 03:00:00,SOUTH,DOM,15717.543
2026-01-01 03:00:00,WEST,AEP,16395.510000000002
2026-01-01 03:00:00,WEST,AP,6002.721
2026-01-01 03:00:00,WEST,ATSI,7253.427000000001
2026-01-01 03:00:00,WEST,CE,10222.565
2026-01-01 03:00:00,WEST,DAY,1883.747
2026-01-01 03:00:00,WEST,DEOK,2709.68
2026-01-01 03:00:00,WEST,DUQ,1432.007
2026-01-01 03:00:00,WEST,EKPC,1903.298
2026-01-01 03:00:00,WEST,OVEC,46.0
2026-01-01 04:00:00,MIDATL,AE,1006.0160000000001
2026-01-01 04:00:00,MIDATL,BC,3407.148
2026-01-01 04:00:00,MIDATL,DPL,2208.3529999999996
2026-01-01 04:00:00,MIDATL,JC,2259.032
2026-01-01 04:00:00,MIDATL,ME,1628.261
2026-01-01 04:00:00,MIDATL,PE,4200.6
2026-01-01 04:00:00,MIDATL,PEP,3054.788
2026-01-01 04:00:00,MIDATL,PL,4689.438999999999
2026-01-01 04:00:00,MIDATL,PN,1845.696
2026-01-01 04:00:00,MIDATL,PS,4436.772
2026-01-01 04:00:00,MIDATL,RECO,135.646
